1,Laura Rodríguez,2002-12-31 00:05:49,50,36
2,Valeria Sánchez,2013-05-24 13:21:00,21,50
3,Ana Fernández,2010-06-04 21:36:21,89,35
4,Jorge Castillo,2008-09-25 15:07:04,63,14
5,Laura Torres,2005-02-01 14:53:33,41,37
6,Sofía Castillo,2023-03-29 16:59:43,70,16
7,Pedro Torres,2003-01-05 06:15:48,19,6
8,Juan Ramos,2022-01-14 08:43:07,38,29
9,Jorge Martínez,2003-03-21 11:39:53,38,14
10,Ana González,2000-02-06 00:06:21,46,40
11,Andrés Ramos,2024-02-02 13:25:11,57,10
12,Daniel Sánchez,2009-09-05 17:31:30,71,29
13,Camila Morales,2021-06-24 14:13:43,44,29
14,Camila González,2000-01-05 00:23:00,35,42
15,Sofía Martínez,2016-12-03 21:35:32,78,28
16,Gabriela Vargas,2014-01-11 03:13:26,60,29
17,Luis Morales,2009-12-29 07:00:16,32,25
18,Carlos Castillo,2003-07-21 03:45:42,58,12
19,Luis López,2024-04-29 17:37:31,95,18
20,Pedro Vargas,2001-08-13 10:26:32,91,27
21,Lucía Pérez,2002-03-17 04:59:43,34,1
22,Carlos González,2009-01-05 22:29:07,41,32
23,Sofía Morales,2022-11-30 12:47:44,52,22
24,Laura Fernández,2007-02-07 09:37:34,73,6
25,María Ramos,2012-04-28 03:20:32,93,28
26,Jorge Pérez,2022-09-30 17:29:16,56,22
27,Laura Fernández,2017-01-28 05:45:27,11,40
28,Pedro Morales,2013-04-14 23:54:23,45,5
29,Lucía García,2006-04-09 06:16:17,49,6
30,Laura Cruz,2002-03-26 00:17:09,76,15
31,Gabriela Flores,2005-09-02 01:03:54,59,15
32,Miguel Castillo,2004-10-22 02:30:07,45,29
33,Sofía López,2005-06-30 15:56:49,84,34
34,Jorge Sánchez,2016-08-24 17:15:10,15,47
35,Daniel Rodríguez,2017-02-03 19:38:33,16,26
36,Ana Castillo,2005-06-20 22:44:39,9,5
37,Valeria Sánchez,2012-04-07 00:59:27,8,42
38,Sofía Morales,2008-01-10 16:14:43,35,29
39,María González,2021-04-27 19:47:28,97,25
40,Miguel Torres,2023-04-09 13:27:38,6,22
41,Jorge González,2011-04-09 11:48:56,62,17
42,Ana González,2004-09-12 07:00:23,78,21
43,Lucía Pérez,2014-07-27 20:05:46,7,14
44,Daniel Torres,2023-09-20 21:16:26,58,19
45,Camila Torres,2013-04-05 05:03:28,25,47
46,Laura Martínez,2011-02-16 21:15:06,78,4
47,María Ramírez,2023-02-26 16:22:03,34,17
48,Valeria Morales,2016-01-23 13:39:13,29,1
49,María Pérez,2015-05-10 20:37:39,31,14
50,Jorge García,2012-01-26 15:56:10,6,35
51,Daniel Pérez,2015-10-31 18:03:53,65,17
52,Camila Martínez,2013-05-05 07:33:32,90,46
53,Sofía Fernández,2004-10-22 23:50:25,45,2
54,Juan Sánchez,2018-11-26 21:43:02,8,46
55,Laura López,2020-07-28 16:29:03,37,12
56,Valeria Vargas,2020-12-12 23:27:29,88,3
57,Valeria Sánchez,2014-06-22 14:14:52,45,30
58,Andrés Cruz,2018-07-15 12:13:52,14,27
59,Ana Sánchez,2010-07-08 00:27:23,24,39
60,Jorge Vargas,2008-04-14 23:32:58,15,30
61,Sofía Pérez,2008-08-03 14:31:43,99,11
62,Jorge González,2009-03-16 10:25:22,92,20
63,Sofía Castillo,2015-09-26 02:21:07,78,50
64,Pedro Martínez,2006-11-06 08:07:12,98,47
65,Juan Torres,2004-08-02 09:28:09,96,41
66,Gabriela Ramos,2000-10-15 00:08:40,96,23
67,Laura García,2002-09-19 19:29:41,25,47
68,Andrés Fernández,2002-03-21 17:08:40,43,24
69,Miguel López,2020-10-04 22:47:48,34,23
70,Daniel Pérez,2023-05-02 02:12:54,21,13
71,Valeria Cruz,2001-06-16 10:41:02,74,26
72,Valeria Castillo,2002-11-21 11:02:54,34,45
73,Camila Cruz,2005-06-01 22:29:02,13,20
74,Carlos Fernández,2005-02-04 05:54:20,24,24
75,Daniel González,2017-04-08 18:44:06,1,36
76,Gabriela Castillo,2020-02-16 20:15:08,41,21
77,Luis Fernández,2014-10-14 12:39:03,47,38
78,María Vargas,2001-12-10 22:50:42,77,46
79,Miguel Sánchez,2015-01-13 02:05:16,90,33
80,Camila Flores,2003-05-25 19:55:54,41,45
81,Jorge Torres,2006-11-09 22:26:24,38,23
82,Laura Rodríguez,2008-04-13 23:38:44,62,42
83,Jorge Vargas,2020-09-05 02:36:04,24,17
84,Camila Ramírez,2011-07-14 14:52:37,14,3
85,Camila Fernández,2020-05-01 18:02:30,20,47
86,Valeria Flores,2011-07-26 21:01:40,5,34
87,Andrés Fernández,2013-02-02 10:37:42,100,42
88,Luis López,2006-05-30 06:10:43,6,36
89,Valeria Martínez,2008-06-02 02:33:30,75,5
90,Laura Martínez,2009-03-14 16:23:19,86,1
91,Sofía González,2021-05-19 11:19:12,97,12
92,Carlos Ramos,2015-05-18 14:34:14,99,48
93,Juan Fernández,2007-04-20 04:21:31,48,2
94,Andrés Morales,2013-09-19 18:01:13,86,5
95,Luis Cruz,2006-11-21 13:33:46,100,41
96,Camila Torres,2016-12-10 23:38:51,33,44
97,Jorge Flores,2003-01-16 18:18:14,97,41
98,Daniel Torres,2011-08-02 06:15:34,8,32
99,Lucía Sánchez,2009-10-23 12:21:50,65,28
100,Valeria Martínez,2008-12-17 00:11:20,45,39
101,Pedro Cruz,2017-01-14 07:47:47,55,30
102,Carlos Torres,2001-11-21 07:55:15,50,25
103,Juan Castillo,2004-04-10 20:50:03,4,3
