1,Sofía Ramos,2017-11-12 14:09:00,13,18
2,Luis Torres,2000-06-08 23:50:26,64,25
3,Juan López,2006-12-16 04:55:12,86,33
4,Daniel Fernández,2018-01-09 15:13:45,20,24
5,Pedro Cruz,2016-07-18 05:27:52,61,14
6,Miguel Vargas,2007-02-15 18:48:53,56,11
7,Valeria Ramos,2017-07-25 13:48:57,83,45
8,Andrés Fernández,2024-03-11 13:16:39,18,1
9,Carlos García,2014-07-05 10:18:26,97,12
10,Valeria Pérez,2000-10-24 08:18:15,39,15
11,María Fernández,2015-01-03 15:51:16,29,17
12,Luis García,2003-08-23 23:00:30,98,46
13,Valeria Rodríguez,2015-09-03 19:05:49,50,40
14,María Sánchez,2006-09-20 01:12:48,40,50
15,María Flores,2016-09-10 20:39:13,40,26
16,Lucía Vargas,2022-06-17 11:49:27,53,43
17,Miguel Rodríguez,2014-06-14 15:07:26,53,13
18,Valeria González,2005-03-30 03:27:56,23,34
19,Pedro Vargas,2019-08-01 22:17:56,16,39
20,Sofía Fernández,2005-06-09 02:34:58,72,20
21,Andrés López,2012-11-12 23:11:56,51,39
22,Daniel Vargas,2007-07-09 17:57:36,21,16
23,Luis Pérez,2020-09-02 11:08:18,79,46
24,Pedro Castillo,2010-09-06 14:24:20,16,40
25,Pedro Pérez,2017-10-03 14:21:59,1,26
26,Pedro Fernández,2003-11-21 11:39:34,1,25
27,María Flores,2013-03-17 10:37:13,34,16
28,Miguel Vargas,2012-01-27 14:54:50,87,42
29,Valeria Rodríguez,2001-11-01 22:41:04,60,28
30,Luis Rodríguez,2019-08-09 07:47:21,21,36
31,Valeria Castillo,2024-07-04 02:09:55,12,46
32,Gabriela Cruz,2011-05-29 20:36:24,12,1
33,Laura Rodríguez,2008-11-11 02:36:45,50,1
34,Laura Cruz,2008-02-29 16:20:58,79,2
35,Andrés Sánchez,2016-01-09 14:39:05,57,34
36,Ana Sánchez,2010-12-15 11:22:49,59,5
37,Andrés García,2022-03-25 02:54:23,72,50
38,Luis Vargas,2001-07-05 02:07:16,32,39
39,Jorge Flores,2015-09-10 09:27:10,80,43
40,Miguel Cruz,2023-10-15 10:38:30,38,28
41,Sofía Sánchez,2022-10-03 11:17:12,33,14
42,Carlos García,2013-08-12 07:35:36,3,46
43,Camila Ramírez,2001-08-03 00:44:12,86,18
44,Luis Vargas,2016-02-25 22:36:35,62,28
45,Carlos Morales,2009-10-30 00:26:17,54,11
46,Carlos Cruz,2018-11-20 06:25:04,46,8
47,Valeria Cruz,2008-05-19 03:14:17,4,47
48,Luis Vargas,2001-10-02 04:14:18,27,17
49,Ana Rodríguez,2015-03-04 23:52:06,82,3
50,Gabriela López,2009-04-30 21:43:19,89,22
51,Lucía Martínez,2014-03-23 19:10:24,96,18
52,Daniel Torres,2023-06-05 09:39:18,32,25
53,Juan Vargas,2023-09-09 13:54:36,47,22
54,Andrés Torres,2007-12-03 19:35:19,92,40
55,María Ramos,2019-01-16 21:13:07,41,3
56,Laura Sánchez,2004-10-31 06:13:07,69,21
57,María López,2024-06-30 16:03:04,7,45
58,María Flores,2019-04-23 06:27:13,76,16
59,Jorge Morales,2018-09-05 03:46:44,95,16
60,Sofía Flores,2017-06-23 09:14:24,87,15
61,Lucía López,2004-12-31 03:49:23,19,44
62,Luis Morales,2016-10-16 11:23:14,27,45
63,Jorge García,2000-09-02 12:35:03,89,18
64,Valeria Torres,2018-08-04 23:14:46,67,29
65,Juan Martínez,2022-11-04 04:35:12,75,38
66,Sofía Martínez,2020-07-18 01:13:44,61,10
67,Andrés Fernández,2022-12-20 16:14:55,18,19
68,Carlos Cruz,2023-09-02 19:17:12,17,9
69,Ana González,2014-12-02 13:42:45,30,3
70,Jorge García,2008-07-09 15:03:35,79,44
71,Camila Torres,2022-07-28 16:58:14,56,32
72,Ana López,2002-09-16 02:23:56,58,47
73,Carlos Torres,2021-08-23 10:37:17,46,38
74,Sofía Castillo,2003-05-31 10:23:41,35,1
75,Camila Ramírez,2014-04-11 08:06:34,6,46
76,Carlos Martínez,2011-02-26 13:58:05,55,41
77,Jorge Martínez,2011-08-20 17:05:04,62,45
78,Pedro Torres,2007-04-07 02:59:17,77,46
79,Gabriela Castillo,2017-02-09 13:38:54,50,46
80,Valeria Morales,2013-10-06 20:57:25,48,8
81,Ana Rodríguez,2013-06-11 04:58:05,61,22
82,Laura Cruz,2019-12-17 05:25:03,1,31
83,Gabriela Ramos,2020-06-25 01:23:08,89,10
84,Lucía Rodríguez,2017-01-09 19:33:58,34,24
85,Sofía González,2009-09-22 05:58:58,19,22
86,Sofía López,2023-03-20 01:05:15,45,34
87,Luis Cruz,2011-09-05 18:41:11,1,36
88,Gabriela Fernández,2018-11-06 14:24:31,14,32
89,Jorge González,2022-04-15 13:04:26,40,11
90,Juan Martínez,2019-12-06 15:09:06,12,18
91,Miguel Martínez,2017-04-25 21:38:40,23,26
92,Gabriela Castillo,2016-03-17 02:58:17,5,17
93,Juan Torres,2004-08-25 09:30:22,14,16
94,Pedro López,2002-03-17 16:04:20,73,28
95,Miguel Ramírez,2006-08-22 10:08:49,97,33
96,Sofía Sánchez,2018-06-16 12:44:36,54,32
97,Valeria García,2005-10-10 17:10:04,80,11
98,Jorge González,2010-05-07 18:45:47,21,24
99,Miguel Torres,2004-11-02 18:33:59,24,49
100,Gabriela Cruz,2016-01-02 02:33:16,60,31
101,Laura Morales,2022-04-03 07:03:43,77,21
102,Miguel García,2012-10-19 15:14:49,52,5
103,Andrés Vargas,2011-10-16 17:33:49,5,11
104,Andrés Sánchez,2000-09-28 03:51:27,13,33
105,Pedro Vargas,2002-01-15 09:58:01,23,29
106,Gabriela Ramos,2021-01-24 18:41:46,63,9
107,Andrés Cruz,2007-03-08 23:48:01,59,41
108,Pedro Fernández,2011-04-23 03:51:57,68,4
109,Camila Flores,2005-09-03 21:00:51,17,10
110,Valeria García,2016-06-27 19:39:48,70,10
111,Lucía González,2022-04-21 23:31:16,70,22
112,Luis García,2000-01-14 13:20:56,64,15
113,Juan Pérez,2019-05-03 15:47:09,21,43
114,Sofía Fernández,2015-04-12 05:49:03,81,36
115,Luis Torres,2009-10-20 03:23:16,35,17
116,Ana Rodríguez,2007-01-06 18:25:49,33,2
117,Gabriela López,2024-03-20 20:00:45,78,17
118,Carlos Pérez,2007-08-05 11:07:16,85,31
119,Camila Pérez,2021-10-14 12:38:08,33,45
120,Miguel Ramírez,2018-11-15 01:54:40,60,20
121,Camila Rodríguez,2004-02-24 00:05:10,31,42
122,Ana Vargas,2002-12-29 19:10:12,21,9
123,Carlos Fernández,2019-10-07 03:56:52,19,38
124,Laura Pérez,2012-09-10 02:55:45,96,30
125,Juan González,2004-10-04 09:08:59,30,35
126,Laura Ramírez,2001-08-17 06:58:57,19,41
127,Camila Vargas,2007-11-28 13:48:34,20,50
128,Luis Martínez,2021-08-18 06:52:07,43,26
129,Andrés Fernández,2005-08-28 02:20:32,98,42
130,Jorge Martínez,2000-07-20 20:53:18,90,37
131,Lucía García,2021-02-09 06:45:25,20,1
132,Miguel Fernández,2003-05-10 02:35:02,37,22
133,Juan González,2015-04-07 13:21:20,55,30
134,María González,2022-11-22 10:45:53,33,1
135,Daniel Martínez,2003-03-10 08:04:40,2,30
136,Miguel Morales,2007-06-23 02:04:11,52,9
137,Jorge Flores,2017-12-12 14:32:36,93,22
138,Andrés Castillo,2022-12-10 23:11:10,33,31
139,Miguel Ramírez,2022-02-25 18:03:58,29,43
140,Laura Ramírez,2011-07-26 00:34:38,31,49
141,Miguel Cruz,2002-07-10 07:40:28,31,36
142,Gabriela Sánchez,2023-02-26 05:25:54,29,26
143,Laura González,2011-02-08 16:11:58,16,49
144,Jorge Vargas,2002-11-10 02:50:10,79,21
145,Juan Sánchez,2020-07-05 21:26:06,21,34
146,Luis Cruz,2000-11-09 09:48:01,66,41
147,Camila Martínez,2007-08-06 23:23:00,32,10
148,Luis Torres,2008-07-13 06:50:16,40,24
149,Carlos Castillo,2006-05-05 01:00:52,58,3
150,Sofía García,2018-01-23 21:23:16,19,6
151,Ana Ramos,2013-11-07 08:43:54,38,41
152,Pedro Rodríguez,2011-04-19 09:55:04,99,8
153,Valeria Cruz,2006-11-13 10:07:11,42,23
154,Luis Ramos,2012-12-22 14:06:46,62,15
155,Juan Torres,2017-01-09 13:35:38,29,29
156,Carlos Ramos,2019-12-18 19:32:19,45,39
157,Daniel Vargas,2024-05-13 19:02:39,64,9
158,Lucía Rodríguez,2012-05-11 20:52:38,7,18
159,Laura Ramírez,2020-11-28 17:16:33,42,13
160,Carlos Morales,2022-12-13 08:01:32,34,48
161,Valeria Flores,2008-06-01 19:18:39,81,36
162,Luis López,2021-10-03 05:33:14,44,36
163,Pedro Rodríguez,2000-11-02 06:50:17,90,34
164,María González,2024-04-05 02:07:41,26,29
165,Sofía Fernández,2008-06-05 06:39:51,65,24
166,Carlos Flores,2021-06-07 19:33:37,48,8
167,Luis Fernández,2016-06-01 18:16:51,65,41
168,Miguel Flores,2011-10-19 23:18:34,56,1
169,Laura Vargas,2018-02-13 01:25:01,60,41
170,Jorge Ramírez,2004-09-25 11:04:23,1,43
171,Pedro Martínez,2001-07-19 01:05:00,64,12
172,Sofía García,2020-06-24 12:43:21,19,28
173,Sofía Morales,2012-09-11 13:33:52,59,21
174,Valeria Torres,2023-05-10 18:22:35,66,14
175,Andrés Flores,2003-09-05 04:20:20,65,50
176,Gabriela Fernández,2022-11-23 11:41:31,33,31
177,Ana Ramírez,2007-03-23 18:00:22,32,2
178,Camila García,2020-09-23 17:38:26,74,32
179,Lucía Ramírez,2003-08-05 21:42:21,65,1
180,Pedro Castillo,2018-11-17 01:25:09,56,19
181,Laura Castillo,2017-09-01 15:09:31,24,5
182,Luis Flores,2020-08-04 21:15:38,56,17
183,Valeria García,2024-05-16 01:13:45,32,14
184,Valeria Castillo,2006-12-10 00:50:44,52,40
185,Ana García,2003-07-30 03:20:50,52,8
186,Andrés Pérez,2012-08-24 03:38:48,94,46
187,Camila Ramírez,2000-07-12 13:29:52,82,5
188,Daniel Cruz,2000-02-27 22:44:26,30,50
189,Miguel López,2022-03-06 08:03:44,98,24
190,Jorge Fernández,2005-09-27 23:21:26,61,10
191,Carlos Pérez,2020-10-19 21:51:53,3,29
192,Sofía García,2012-04-11 10:12:50,66,47
193,Camila Pérez,2006-10-17 11:56:14,77,29
194,Carlos Castillo,2021-07-07 06:51:59,59,31
195,Gabriela Ramos,2002-04-20 22:24:45,97,41
